Wall time,Step,Value
1709723491.1819186,0,0.0
1709723496.8336275,1,0.0
1709723503.0676708,2,0.0
1709723508.714887,3,0.0
1709723514.63876,4,0.0
1709723520.03179,5,0.0
1709723525.3524344,6,0.0
1709723530.7738557,7,0.0
1709723536.100503,8,0.0
1709723541.4273865,9,0.0
1709723546.756996,10,0.0
1709723552.8036587,11,0.0
1709723558.5847905,12,0.0
1709723564.0846462,13,0.0
1709723569.8852582,14,0.0
1709723575.6591363,15,0.0
1709723581.4353788,16,0.0
1709723587.1365757,17,0.0
1709723593.0219655,18,0.0
1709723598.6840549,19,0.0
1709723604.19733,20,0.0
1709723609.6479604,21,0.0
1709723615.1268327,22,0.0
1709723620.7554567,23,0.0
1709723626.3970332,24,0.0
1709723632.3594673,25,0.0
1709723637.8481667,26,0.0
1709723643.3994956,27,0.0
1709723648.9048636,28,0.0
1709723654.3176236,29,0.0
1709723659.8143728,30,0.0
1709723665.1959398,31,0.0
1709723670.520238,32,0.0
1709723675.8127959,33,0.0
1709723681.3203633,34,0.0
1709723686.74263,35,0.0
1709723692.1528537,36,0.0
1709723698.0237346,37,0.0
1709723703.9406867,38,0.0
1709723709.8108244,39,0.0
1709723715.5978537,40,0.0
1709723721.1651576,41,0.0
1709723726.9512815,42,0.0
1709723733.1646023,43,0.0
1709723738.639121,44,0.0
1709723743.9335876,45,0.0
1709723749.6698167,46,0.0
1709723755.2638521,47,0.009999999776482582
1709723760.5574448,48,0.0
1709723765.9039526,49,0.019999999552965164
1709723771.3256361,50,0.07000000029802322
1709723776.6607764,51,0.09000000357627869
1709723782.1277544,52,0.10999999940395355
1709723787.606121,53,0.17000000178813934
1709723793.192583,54,0.20000000298023224
1709723799.0122979,55,0.9599999785423279
1709723804.4062076,56,1.350000023841858
1709723809.8241765,57,1.7100000381469727
1709723815.2005618,58,2.190000057220459
1709723820.719186,59,2.640000104904175
1709723826.1873443,60,2.5
1709723831.6262684,61,3.9100000858306885
1709723837.2878077,62,4.679999828338623
1709723843.3047876,63,5.190000057220459
1709723849.1262271,64,5.710000038146973
1709723854.7351506,65,6.869999885559082
1709723860.2401104,66,7.46999979019165
1709723865.6921573,67,8.260000228881836
1709723871.6142259,68,8.039999961853027
1709723877.0773432,69,7.900000095367432
1709723882.6029847,70,8.34000015258789
1709723888.2003834,71,8.350000381469727
1709723893.7657294,72,8.920000076293945
1709723899.354275,73,9.25
1709723904.8687027,74,9.640000343322754
1709723910.4102104,75,10.630000114440918
1709723915.9170933,76,11.899999618530273
1709723921.3960893,77,11.829999923706055
1709723926.7243953,78,12.069999694824219
1709723932.261147,79,11.640000343322754
1709723938.250063,80,12.079999923706055
1709723944.1281471,81,12.819999694824219
1709723949.7203546,82,13.920000076293945
1709723955.0561237,83,13.529999732971191
1709723960.4737804,84,15.819999694824219
1709723966.2418056,85,15.380000114440918
1709723971.6858263,86,15.489999771118164
1709723977.0275931,87,16.8799991607666
1709723982.5592425,88,17.799999237060547
1709723988.0401335,89,20.40999984741211
1709723993.362384,90,20.770000457763672
1709723998.720749,91,21.600000381469727
1709724004.2388704,92,21.34000015258789
1709724010.207392,93,21.610000610351562
1709724016.0579555,94,21.059999465942383
1709724021.6914053,95,22.450000762939453
1709724027.6993997,96,22.579999923706055
1709724033.310497,97,22.850000381469727
1709724039.078064,98,22.969999313354492
1709724044.7493525,99,22.540000915527344
1709724050.2214801,100,22.610000610351562
1709724055.89767,101,23.479999542236328
1709724061.6133578,102,22.56999969482422
1709724067.5567935,103,22.670000076293945
1709724073.1087108,104,22.6299991607666
1709724079.061044,105,22.200000762939453
1709724084.8098607,106,21.920000076293945
1709724090.3596978,107,21.850000381469727
1709724096.1282275,108,21.40999984741211
1709724101.7530408,109,21.010000228881836
1709724107.1771946,110,19.989999771118164
1709724112.7536788,111,18.200000762939453
1709724118.1725595,112,18.040000915527344
1709724123.722518,113,17.15999984741211
1709724129.3027601,114,16.399999618530273
1709724134.6735241,115,16.719999313354492
1709724140.0191727,116,15.859999656677246
1709724145.5622666,117,15.819999694824219
1709724151.0538497,118,14.020000457763672
1709724156.4348912,119,14.039999961853027
1709724162.031276,120,13.75
1709724167.46647,121,13.4399995803833
1709724173.4370368,122,13.210000038146973
1709724178.876559,123,12.510000228881836
1709724184.3059435,124,12.010000228881836
1709724189.7522502,125,11.619999885559082
1709724195.2954957,126,11.59000015258789
1709724200.7129276,127,11.210000038146973
1709724206.121474,128,11.420000076293945
1709724211.5473182,129,11.180000305175781
1709724217.046601,130,10.670000076293945
1709724222.5747435,131,10.65999984741211
1709724228.0692575,132,10.729999542236328
1709724233.5935998,133,10.59000015258789
1709724239.0668645,134,10.369999885559082
1709724244.6392937,135,10.3100004196167
1709724250.3006048,136,10.399999618530273
1709724255.8110468,137,10.260000228881836
1709724261.3448596,138,10.510000228881836
1709724266.8633907,139,10.539999961853027
1709724272.6741292,140,10.130000114440918
1709724278.9232528,141,10.550000190734863
1709724286.469965,142,10.420000076293945
1709724292.496988,143,10.420000076293945
1709724298.139914,144,10.069999694824219
1709724304.1180968,145,10.489999771118164
1709724309.8897765,146,10.010000228881836
1709724315.3931775,147,10.029999732971191
1709724321.1381884,148,10.010000228881836
1709724327.0840993,149,10.510000228881836
1709724332.7589397,150,10.460000038146973
1709724338.429522,151,10.420000076293945
1709724343.786372,152,10.279999732971191
1709724349.0859714,153,10.260000228881836
1709724354.6461234,154,10.380000114440918
1709724360.0840366,155,10.40999984741211
1709724365.5353367,156,10.430000305175781
1709724371.0601127,157,10.34000015258789
1709724376.38915,158,10.40999984741211
1709724381.7387319,159,10.350000381469727
1709724387.1309872,160,10.100000381469727
1709724392.5582588,161,10.010000228881836
1709724398.520576,162,10.300000190734863
1709724404.2096162,163,10.390000343322754
1709724409.7426822,164,10.3100004196167
1709724415.299645,165,10.170000076293945
1709724420.7711077,166,10.380000114440918
1709724426.70525,167,10.220000267028809
1709724432.243799,168,9.979999542236328
1709724437.881037,169,10.239999771118164
1709724443.6621358,170,10.479999542236328
1709724449.4292295,171,10.09000015258789
1709724455.0250652,172,10.09000015258789
1709724460.706365,173,10.100000381469727
1709724466.6376312,174,10.199999809265137
1709724472.819251,175,9.970000267028809
1709724478.3300042,176,9.859999656677246
1709724483.774156,177,10.079999923706055
1709724489.2595282,178,10.510000228881836
1709724494.7197566,179,10.4399995803833
1709724500.1951787,180,10.329999923706055
1709724505.5936048,181,10.380000114440918
1709724511.5676837,182,10.010000228881836
1709724517.7764316,183,10.0600004196167
1709724523.0700738,184,10.130000114440918
1709724528.7237573,185,10.199999809265137
1709724534.123663,186,9.920000076293945
1709724539.5772114,187,10.199999809265137
1709724545.2300358,188,9.880000114440918
1709724550.907573,189,9.930000305175781
1709724556.5894742,190,9.960000038146973
1709724562.1283066,191,10.15999984741211
1709724567.7825053,192,9.989999771118164
1709724573.4903255,193,9.899999618530273
1709724579.081062,194,10.079999923706055
1709724584.7673056,195,10.34000015258789
1709724590.1675024,196,10.199999809265137
1709724595.654099,197,10.199999809265137
